State,No justices identify as person of color,POC >=20% population,No Black justices,No Latino justices,No Asian justices,No Native American justices,One woman on bench,No women of color,One woman of color
Alabama,1,1,1,1,1,1,0,1,0
Alaska,1,1,1,1,1,1,0,1,0
Arizona,0,0,0,0,1,1,0,0,0
Arkansas,1,1,1,1,1,1,0,1,0
California,0,0,0,0,0,1,0,0,0
Colorado,0,0,1,0,0,1,0,0,0
Connecticut,0,0,0,1,1,1,0,1,0
Delaware,0,0,0,1,1,1,0,1,0
Florida,0,0,0,0,1,1,0,0,0
Georgia,0,0,0,1,0,1,0,0,0
Hawaii,0,0,1,1,0,1,0,0,0
Idaho,1,1,1,1,1,1,0,1,0
Illinois,0,0,0,1,0,1,0,0,0
Indiana,1,1,1,1,1,1,1,1,0
Iowa,0,0,1,1,0,1,0,1,0
Kansas,1,1,1,1,1,1,0,1,0
Kentucky,0,0,0,1,1,1,0,0,1
Louisiana,0,0,0,1,1,1,1,0,1
Maine,0,0,0,1,1,1,0,1,0
Maryland,0,0,0,0,1,1,0,0,0
Massachusetts,0,0,0,0,1,1,0,0,0
Michigan,0,0,0,1,1,1,0,0,1
Minnesota,0,0,0,1,1,0,0,0,0
Mississippi,0,0,0,1,1,1,1,1,0
Missouri,0,0,0,1,1,1,0,0,1
Montana,1,0,1,1,1,1,0,1,0
Nebraska,0,0,0,1,1,1,1,1,0
Nevada,0,0,0,1,0,1,0,0,1
New Hampshire,1,0,1,1,1,1,1,1,0
New Jersey,0,0,0,0,1,1,0,0,1
New Mexico,0,0,1,0,1,1,0,0,0
New York,0,0,0,0,1,1,0,0,0
North Carolina,0,0,0,1,1,1,0,0,1
North Dakota,1,0,1,1,1,1,1,1,0
Ohio,1,1,1,1,1,1,0,1,0
Oklahoma,0,0,0,1,1,0,0,1,0
Oregon,0,0,1,1,0,1,0,0,1
Pennsylvania,1,1,1,1,1,1,0,1,0
Rhode Island,0,0,0,1,1,1,0,0,1
South Carolina,1,1,1,1,1,1,1,1,0
South Dakota,1,0,1,1,1,1,1,1,0
Tennessee,1,1,1,1,1,1,0,1,0
Texas,0,0,0,0,1,1,0,0,1
Utah,1,1,1,1,1,1,0,1,0
Vermont,0,0,1,1,0,1,0,0,1
Virginia,0,0,0,1,1,1,0,0,1
Washington,0,0,0,0,0,0,0,0,0
West Virginia,1,0,1,1,1,1,0,1,0
Wisconsin,1,1,1,1,1,1,0,1,0
Wyoming,1,0,1,1,1,1,0,1,0
District of Columbia,0,0,0,1,0,1,0,0,1
